CloneID	Chromosome	Start	End	Case1.test	Case1.ref
A_14_P122410	20	52638492	52638549	687	321
A_14_P122411	14	64565120	64565179	457	325
A_14_P122412	03	132475004	132475053	819	479
A_14_P122414	10	81829259	81829318	932	782.5
A_14_P122416	08	97321019	97321078	434	227.5
A_14_P122417	08	70029778	70029837	329	190
A_14_P122419	17	7988446	7988495	692.5	280
A_14_P122420	14	54665284	54665343	390	292
A_14_P122421	17	1805942	1806001	810	334
A_14_P122422	09	6848179	6848238	867	513
A_14_P122423	01	143085939	143085998	546	254
A_14_P122424	05	55214612	55214671	513	276.5
A_14_P122427	22	37475384	37475438	450	240
A_14_P122428	15	39545706	39545763	353	189
A_14_P122429	19	61207075	61207134	362	234
A_14_P122430	05	140533456	140533515	628.5	414.5
A_14_P122431	09	34980765	34980815	234	146
A_14_P122432	05	70988408	70988467	583	398
A_14_P122433	12	99994121	99994180	952	423
A_14_P122434	20	16454753	16454812	710	374
A_14_P122435	20	45040335	45040392	501	254.5
A_14_P122436	02	211512968	211513027	505	270
A_14_P122437	03	159794980	159795039	573.5	387.5
A_14_P122438	16	64970881	64970934	683	393
A_14_P122439	01	153776041	153776100	945.5	527.5
A_14_P122440	17	35840935	35840994	468.5	192
A_14_P122442	03	105338020	105338079	694	369
A_14_P122443	04	35126288	35126347	382	223
A_14_P122444	01	20214501	20214555	489	202
A_14_P122445	04	107124296	107124355	365	216
A_14_P122446	X	21956105	21956159	315	212
A_14_P122447	19	45520770	45520829	721.5	434
A_14_P122448	01	192165283	192165342	1046	519
A_14_P122449	01	151778332	151778377	1412	904
A_14_P122450	08	62418671	62418730	368.5	234.5
A_14_P122451	12	22105064	22105123	465	246
A_14_P122452	05	139724283	139724334	431	227
A_14_P122453	10	97548789	97548848	380	287
A_14_P122454	20	16308039	16308098	566	245
A_14_P122455	17	44376788	44376847	723	344
A_14_P122456	04	141242683	141242742	557.5	287.5
A_14_P122457	02	165580837	165580896	278	162
A_14_P122458	04	132003309	132003368	341	199
A_14_P122459	13	25391304	25391363	359.5	207
A_14_P122460	16	20878666	20878725	299	185
A_14_P122462	06	2721776	2721835	218	133
A_14_P122463	04	41209253	41209312	341	210
A_14_P122464	14	100269263	100269322	402.5	299
A_14_P122465	19	5942497	5942556	291	158
A_14_P122466	06	138907501	138907560	543.5	305
A_14_P122467	13	33355353	33355412	585	345
A_14_P122468	06	36759129	36759180	760	450.5
A_14_P122469	07	106166924	106166983	752	409
A_14_P122470	11	30558572	30558624	806	463
A_14_P122471	21	41859414	41859473	429	250
A_14_P122472	12	6748327	6748378	691	223.5
A_14_P122473	04	140733557	140733616	557	355
A_14_P122474	12	109401882	109401941	522	185
A_14_P122475	04	187528550	187528609	290.5	181
A_14_P122476	03	114421815	114421874	333	184
A_14_P122477	17	24258741	24258794	362.5	144.5
A_14_P122478	12	1671754	1671813	744	298
A_14_P122479	03	121730417	121730476	297.5	203
A_14_P122480	07	147932654	147932713	463	269
A_14_P122481	X	120794128	120794187	384.5	304
A_14_P122483	13	51608357	51608416	456.5	269
A_14_P122485	15	89325851	89325910	599	286
A_14_P122486	02	38936548	38936607	524	243
A_14_P122487	14	41203029	41203088	488	417
A_14_P122488	14	23057018	23057077	383	268
A_14_P122489	10	5840871	5840930	315	221.5
A_14_P122490	06	43046950	43047009	695.5	418.5
A_14_P122491	01	142966673	142966732	761	400
A_14_P122492	17	77467558	77467614	142	74
A_14_P122494	12	123812135	123812192	285.5	154
A_14_P122495	01	100908892	100908951	437	203
A_14_P122496	07	43896616	43896675	355.5	179
A_14_P122497	17	57344164	57344222	729.5	310.5
A_14_P122499	19	52581251	52581310	163	101
A_14_P122500	06	33395127	33395176	1083.5	577.5
A_14_P122501	04	151419943	151420002	751	420
A_14_P122502	06	88626091	88626150	509	299
A_14_P122503	10	30015469	30015527	312.5	203
A_14_P122505	09	68668614	68668672	461	274
A_14_P122506	17	48105944	48106003	794	390
A_14_P122507	16	4574011	4574070	619	307
A_14_P122508	16	14669740	14669799	524	350
A_14_P122509	07	148138570	148138629	697	356
A_14_P122510	19	54546407	54546451	294.5	180
A_14_P122511	04	103874463	103874522	492	311
A_14_P122512	19	57493730	57493781	637	434
A_14_P122513	02	118390520	118390575	638	313.5
A_14_P122514	05	127742394	127742453	522	280.5
A_14_P122515	11	18284421	18284480	218	137.5
A_14_P122516	11	85928209	85928268	283	167
A_14_P122517	14	62912281	62912340	479	290
A_14_P122518	09	104624905	104624964	461	275
A_14_P122519	01	100373632	100373691	970	490
A_14_P122520	03	79286088	79286147	791	496
A_14_P122521	07	71810554	71810608	553	288
A_14_P122522	04	48331934	48331993	355	204
A_14_P122523	05	172879428	172879487	323	183
A_14_P122524	01	150757886	150757945	518	224
A_14_P122525	07	158326714	158326773	751	369.5
A_14_P122527	20	4100452	4100506	281	140
A_14_P122528	06	158266485	158266544	350	216
A_14_P122529	11	22704476	22704528	1086.5	674
A_14_P122530	21	38416615	38416674	621.5	354
A_14_P122531	19	62900936	62900995	226	129
A_14_P122532	19	54650993	54651051	429.5	233
A_14_P122533	16	65658056	65658115	579	322
A_14_P122534	11	3338516	3338575	492.5	267
A_14_P122535	17	9349173	9349227	400	202.5
A_14_P122538	05	159729154	159729213	499	311.5
A_14_P122539	12	42448167	42448223	399	207
A_14_P122540	01	43578745	43578800	387.5	159.5
A_14_P122541	04	152379354	152379413	306.5	186
A_14_P122542	03	165251366	165251425	452	278
A_14_P122543	12	16002438	16002496	435	180
A_14_P122544	19	12744820	12744866	277	133.5
A_14_P122545	05	31663301	31663360	717.5	416.5
A_14_P122546	11	8528070	8528129	160	112
A_14_P122547	01	152577959	152578018	584	274
A_14_P122549	02	127901549	127901608	473	222
A_14_P122550	10	106401873	106401932	372.5	254.5
A_14_P122551	09	110407013	110407072	554	387
A_14_P122552	20	47706492	47706551	995	417
A_14_P122553	08	128548643	128548702	385	233
A_14_P122554	05	122656866	122656925	352.5	238
A_14_P122556	22	44061907	44061966	404.5	224.5
A_14_P122557	06	168281641	168281696	294.5	187
A_14_P122558	01	118056551	118056610	362	176
A_14_P122559	21	33322349	33322395	857	502
A_14_P122560	14	66094575	66094634	326	260
A_14_P122561	01	180065149	180065208	578	285
A_14_P122562	12	4819069	4819128	659	283
A_14_P122563	16	17042065	17042124	377	229.5
A_14_P122564	04	13103664	13103723	1236	738
A_14_P122565	17	63339485	63339544	815	292
A_14_P122566	08	75310735	75310794	979	637.5
A_14_P122567	08	120757538	120757597	549.5	304.5
A_14_P122568	02	239071671	239071730	715	356
A_14_P122569	06	38701259	38701318	280	160
A_14_P122570	01	66397116	66397175	1142	525
A_14_P122571	01	217165775	217165834	1022	491
A_14_P122572	07	2051271	2051330	804	389
A_14_P122573	06	27884381	27884431	430	277
A_14_P122574	12	118723319	118723378	409	186
A_14_P122575	18	17573984	17574043	329	142
A_14_P122576	09	11563531	11563590	312	178.5
A_14_P122577	16	62462977	62463036	321	190
A_14_P122578	20	21123666	21123719	640	319
A_14_P122579	06	137387268	137387327	357	217
A_14_P122580	07	149937537	149937596	377	193
A_14_P122581	07	128092967	128093021	322	147
A_14_P122582	12	4660340	4660399	433	207
A_14_P122583	17	78494956	78495015	999	405.5
A_14_P122584	12	121144401	121144460	453	183.5
A_14_P122585	05	112255373	112255424	599	371
A_14_P122586	15	87523118	87523177	527	278
A_14_P122588	02	32755158	32755217	293	135
A_14_P122589	X	153277576	153277625	328	187
A_14_P122590	10	30175463	30175522	320.5	205.5
A_14_P122591	12	101813119	101813176	257.5	134
A_14_P122592	13	105942094	105942153	670	401
A_14_P122593	03	113194094	113194153	333	220
A_14_P122594	22	47380249	47380308	179	93
A_14_P122595	16	29921947	29921993	547.5	375.5
A_14_P122596	03	144981480	144981539	475	289
A_14_P122597	09	135113605	135113664	253	166
A_14_P122598	11	124857305	124857364	675	331
A_14_P122599	08	39018630	39018689	564	364
A_14_P122601	06	27969173	27969222	622	341
A_14_P122602	08	25419351	25419410	322	199.5
A_14_P122603	11	125720751	125720804	1374.5	794
A_14_P122604	01	6185085	6185144	467	235
A_14_P122605	10	17727965	17728024	301	225.5
A_14_P122606	05	172329336	172329395	473	257
A_14_P122607	22	23307473	23307530	1897.5	1100
A_14_P122608	10	116776572	116776631	338	195
A_14_P122609	16	55393649	55393708	385.5	236
A_14_P122611	19	63713358	63713413	497	310.5
A_14_P122612	15	49888466	49888525	781	347
A_14_P122613	07	44303912	44303969	556	327
A_14_P122614	11	77516031	77516090	631	379
A_14_P122615	01	2961144	2961190	233.5	108
A_14_P122616	01	172746944	172747003	382.5	197
A_14_P122617	12	54648103	54648160	524	211
A_14_P122618	02	166304214	166304273	701	316
A_14_P122619	09	105504474	105504519	446.5	301
A_14_P122620	13	73759084	73759143	225	155
A_14_P122621	06	78228839	78228889	419	242
A_14_P122622	11	59904752	59904811	420.5	295
A_14_P122623	17	36558789	36558848	2436	1129
A_14_P122624	17	24394045	24394091	1958	792
A_14_P122625	03	193487738	193487797	859	487
A_14_P122626	02	29470773	29470832	525.5	258
A_14_P122627	16	26483932	26483991	345	197
A_14_P122628	22	42677218	42677277	563	302.5
A_14_P122629	07	28160329	28160388	1002.5	496
A_14_P122630	02	218918964	218919023	399	176
A_14_P122631	07	44016321	44016380	650	341.5
A_14_P122632	17	40164517	40164572	715	327
A_14_P122633	17	4562278	4562336	219	118
A_14_P122634	01	180443048	180443107	772.5	331.5
A_14_P122635	01	176226195	176226254	730	364
A_14_P122637	19	11496978	11497037	662	397
A_14_P122638	05	61340827	61340886	461	266
A_14_P122639	04	102434000	102434059	196	131
A_14_P122640	12	48995199	48995258	762.5	301.5
A_14_P122641	01	1192357	1192416	535.5	252.5
A_14_P122642	05	175966248	175966298	272	170
A_14_P122643	01	62167868	62167927	487	230.5
A_14_P122644	17	4671563	4671621	876	346
A_14_P122645	01	70533739	70533798	863	391
A_14_P122646	01	46220416	46220475	934	455
A_14_P122647	16	14185105	14185164	506.5	320
A_14_P122648	22	37548615	37548674	557	371
A_14_P122649	17	62670337	62670396	1986	779
A_14_P122650	06	51160339	51160398	257	150
A_14_P122651	03	14162098	14162157	290	169
A_14_P122653	20	2725344	2725390	328	179
A_14_P122654	17	19225506	19225553	1039	470
A_14_P122655	01	149757296	149757355	390.5	208
A_14_P122656	17	11924153	11924212	389	187.5
A_14_P122657	11	22602405	22602464	238	141
A_14_P122658	03	120382156	120382215	578	347.5
A_14_P122659	09	90361299	90361358	398	239.5
A_14_P122660	06	28348370	28348429	754	429
A_14_P122661	02	144991317	144991376	476	277
A_14_P122662	16	11896297	11896356	923	539
A_14_P122663	20	62291030	62291089	611	320
A_14_P122664	17	1279999	1280058	949.5	383
A_14_P122665	02	40398708	40398767	255	131
A_14_P122666	09	5957327	5957386	565.5	345
A_14_P122667	11	43659632	43659691	289	158
A_14_P122668	06	43253688	43253747	198.5	119
A_14_P122669	17	55313150	55313209	703	239
A_14_P122670	01	173407125	173407184	525.5	256.5
A_14_P122671	16	15618857	15618916	398	191
A_14_P122672	09	13364245	13364304	457.5	283.5
A_14_P122673	05	111671054	111671113	377	238.5
A_14_P122674	04	114675720	114675779	298.5	202
A_14_P122675	10	48153615	48153674	552	395
A_14_P122676	05	176837351	176837404	220	132.5
A_14_P122677	13	67001723	67001782	253	181
A_14_P122679	18	11584789	11584848	577.5	311.5
A_14_P122680	11	94441063	94441122	435.5	258
A_14_P122681	11	35597621	35597666	318.5	165.5
A_14_P122682	05	148501810	148501854	595	376
A_14_P122683	22	41590261	41590320	583	334
A_14_P122684	20	10598543	10598602	497	252
A_14_P122686	17	64754503	64754562	813.5	469
A_14_P122687	01	166290369	166290428	545	276
A_14_P122688	02	70010583	70010642	695	332
A_14_P122689	03	48638143	48638197	961.5	604
A_14_P122690	10	127420100	127420159	191	136
A_14_P122691	10	18433402	18433461	297.5	239.5
A_14_P122692	12	77070355	77070414	574	209
A_14_P122693	01	230717945	230718004	944.5	493
A_14_P122694	13	93888855	93888908	485	290.5
A_14_P122695	02	237156317	237156376	596	260
A_14_P122696	06	166629713	166629772	285	188
A_14_P122697	19	1833336	1833389	555.5	287
A_14_P122699	04	153616592	153616651	434	265
A_14_P122700	08	144521166	144521210	731	502
A_14_P122701	04	164611229	164611285	437	289
A_14_P122702	22	37743537	37743587	3367	1821
A_14_P122703	12	16053490	16053549	843	341
A_14_P122704	19	61586504	61586563	516.5	247
A_14_P122705	21	18057851	18057910	547	306
A_14_P122706	02	175489845	175489904	496	245
A_14_P122707	06	33365926	33365977	590.5	325.5
A_14_P122708	19	15907208	15907264	660.5	400
A_14_P122710	08	66677654	66677711	907	562
A_14_P122711	05	174800646	174800705	588	319
A_14_P122713	05	327994	328045	914.5	537.5
A_14_P122714	12	55269552	55269611	297	135.5
A_14_P122715	01	28059013	28059072	636.5	346.5
A_14_P122716	01	188824080	188824139	696	390
A_14_P122717	X	56196129	56196188	381	267
A_14_P122718	16	4367456	4367515	333	185
A_14_P122719	01	15204265	15204324	292	141
A_14_P122720	17	13442475	13442534	1119.5	440
A_14_P122721	02	169751691	169751745	400.5	212.5
A_14_P122722	01	176207659	176207718	787	380.5
A_14_P122723	16	45283842	45283901	236	137
A_14_P122724	15	27865619	27865678	460	237
A_14_P122725	02	105442578	105442629	559.5	277
A_14_P122726	03	10950732	10950789	350.5	197.5
A_14_P122727	08	18763586	18763645	802	520
A_14_P122728	13	45079752	45079811	297	204
A_14_P122729	02	196759361	196759420	658	416
A_14_P122730	16	87234028	87234084	749	435
A_14_P122731	19	63721815	63721863	464	267
A_14_P122732	18	34628690	34628749	541	322
A_14_P122733	07	147552520	147552579	277	152
A_14_P122734	01	233453323	233453382	946	511
A_14_P122735	13	31879417	31879473	932.5	504.5
A_14_P122736	16	82387274	82387333	434	263
A_14_P122737	X	130152198	130152257	233	185
A_14_P122738	02	69113514	69113566	783	376.5
A_14_P122739	10	98372559	98372618	231	171.5
A_14_P122741	01	1748860	1748915	521	301
A_14_P122742	16	29168352	29168401	979	587
A_14_P122743	12	100569699	100569758	917.5	396.5
A_14_P122744	06	97695181	97695240	399.5	224
A_14_P122745	Y	14532613	14532672	718	552
A_14_P122747	03	49821003	49821059	770	473
A_14_P122748	10	91524009	91524068	220.5	153
A_14_P122749	04	81463624	81463683	365	208
A_14_P122750	10	8814523	8814582	561	478
A_14_P122751	17	47664175	47664234	686	356
A_14_P122752	21	40633173	40633232	378.5	216.5
A_14_P122753	11	61840384	61840443	193	190
A_14_P122754	07	4959896	4959955	344	161.5
A_14_P122755	03	80775988	80776047	691	467.5
A_14_P122756	06	99444505	99444564	746.5	477.5
A_14_P122757	02	38510927	38510986	568	291
A_14_P122758	07	89378025	89378084	285	160
A_14_P122759	04	141534749	141534808	495	282.5
A_14_P122760	17	51585861	51585911	358.5	186.5
A_14_P122761	02	55313783	55313842	542	278
A_14_P122762	16	20337550	20337609	846	546
A_14_P122763	11	28060971	28061030	463.5	314.5
A_14_P122764	11	105427639	105427698	313	186
A_14_P122765	12	49729124	49729183	346	246.5
A_14_P122767	09	6089101	6089160	313	216
A_14_P122768	14	101305447	101305506	141	101
A_14_P122769	07	40562246	40562302	820	355
A_14_P122770	10	126834997	126835056	456	303
A_14_P122771	02	105318103	105318162	235.5	134
A_14_P122773	12	68275907	68275966	475.5	211
A_14_P122774	20	2933760	2933819	577	300
A_14_P122775	16	15705303	15705357	283	173
A_14_P122776	12	108665020	108665079	856.5	367.5
A_14_P122777	03	3812892	3812951	592	398
A_14_P122778	19	17885285	17885344	700	412.5
A_14_P122780	06	169604046	169604105	299	173.5
A_14_P122781	11	64300466	64300525	556.5	361
A_14_P122783	01	82084888	82084947	1180	639
A_14_P122784	11	59612724	59612783	693	452
A_14_P122785	12	120316650	120316698	706	355
A_14_P122786	07	5261259	5261318	364	205.5
A_14_P122787	17	12854787	12854846	739	283
A_14_P122788	06	114397480	114397539	385	210.5
A_14_P122789	19	47586119	47586168	1089	650
A_14_P122790	08	13127400	13127459	665	433
A_14_P122791	18	64236931	64236990	931	453
A_14_P122792	12	111992398	111992442	1146.5	477
A_14_P122793	17	24395518	24395577	552	240
A_14_P122794	08	60468589	60468648	938	525
A_14_P122795	08	110859237	110859296	769.5	432
A_14_P122796	10	32775224	32775271	456	154
A_14_P122797	09	73014771	73014830	347	192.5
A_14_P122798	04	159860129	159860188	561	390
A_14_P122799	03	88386457	88386516	445.5	258
A_14_P122800	X	110943274	110943333	206	189.5
A_14_P122801	20	33654977	33655031	504	249
A_14_P122802	11	118400269	118400328	286.5	212
A_14_P122803	11	74958852	74958911	439.5	231
A_14_P122804	16	86006409	86006466	315.5	178
A_14_P122805	18	56445132	56445191	270	163
A_14_P122806	12	8650725	8650778	581	258
A_14_P122807	05	176748848	176748903	532	256
A_14_P122808	06	7495770	7495829	632.5	384
A_14_P122809	X	99096015	99096074	494.5	369.5
A_14_P122810	12	120542696	120542743	305	132
A_14_P122812	01	114060428	114060487	492	227
A_14_P122813	12	131991342	131991401	314.5	146
A_14_P122814	10	12934830	12934889	356	272
A_14_P122815	15	53738392	53738451	1052.5	541
A_14_P122816	06	48107418	48107477	686	420
A_14_P122817	08	145985951	145985998	647	392.5
A_14_P122818	12	55822753	55822812	656	240
A_14_P122820	02	32025377	32025436	561.5	290
A_14_P122821	02	39324621	39324680	584.5	293.5
A_14_P122822	19	6838563	6838622	361	207
A_14_P122823	12	88746597	88746656	395	211.5
A_14_P122824	05	162798656	162798715	495	266
A_14_P122825	13	37229613	37229672	541	337
A_14_P122826	07	77067671	77067730	425	192
A_14_P122827	07	26481455	26481514	908	423
A_14_P122828	04	160712958	160713017	392	227
A_14_P122830	08	69554590	69554649	775.5	481.5
A_14_P122831	03	120799627	120799686	311	180
A_14_P122832	14	75319227	75319286	364	279
A_14_P122833	19	42336256	42336315	272	170.5
A_14_P122834	12	70462057	70462116	595	236
A_14_P122835	12	91728966	91729025	489	223.5
A_14_P122836	10	18989536	18989595	500	405
A_14_P122837	21	22049013	22049072	427	244.5
A_14_P122838	01	162355211	162355270	541	241
A_14_P122839	08	22602091	22602150	458	276.5
A_14_P122840	12	124152295	124152354	319	152.5
A_14_P122841	03	120694837	120694895	452	259.5
A_14_P122843	16	31446722	31446768	217	145
A_14_P122844	14	54685487	54685546	352	276.5
A_14_P122845	19	712783	712831	1152.5	651
A_14_P122846	14	63891969	63892028	193	150.5
A_14_P122847	06	167313680	167313739	157	103
A_14_P122848	07	48907391	48907450	969	494
A_14_P122850	22	46270610	46270669	456	248
A_14_P122851	01	153827498	153827557	904	470
A_14_P122852	12	55914099	55914148	1003	443
A_14_P122853	19	47044878	47044937	413	209
A_14_P122854	X	37996794	37996852	449	320
A_14_P122855	06	39111870	39111929	398.5	222
A_14_P122856	05	179855024	179855082	604.5	338
A_14_P122857	16	3476907	3476966	428	239
A_14_P122858	16	1352811	1352866	371	198
A_14_P122859	15	64276499	64276558	561	276
A_14_P122860	01	194045059	194045118	664	300
A_14_P122861	03	171590713	171590772	463	263
A_14_P122862	17	50123256	50123315	327	158
A_14_P122863	03	12979926	12979985	375	193
A_14_P122864	12	9246200	9246257	505	171
A_14_P122866	02	143468965	143469015	207	129.5
A_14_P122867	19	19019187	19019246	334	175
A_14_P122868	21	43249085	43249144	550	329
A_14_P122870	12	10160764	10160823	483	198
A_14_P122871	06	35211846	35211905	312.5	194.5
A_14_P122872	11	94921646	94921705	746.5	498
A_14_P122873	X	133704901	133704960	264	198
A_14_P122874	01	148493678	148493732	886	512
A_14_P122875	10	4228998	4229057	659.5	498
A_14_P122876	02	189822326	189822385	813	384
A_14_P122877	21	42765648	42765707	463	261
A_14_P122878	17	6185427	6185486	840	336
A_14_P122879	03	79842619	79842678	639	445
A_14_P122880	X	41293660	41293719	277	209.5
A_14_P122881	01	157981603	157981649	327	164
A_14_P122882	01	167906465	167906524	422	257
A_14_P122884	06	46734730	46734789	615.5	414.5
A_14_P122885	01	11645419	11645478	769.5	321.5
A_14_P122886	11	7235401	7235460	352	192
A_14_P122887	09	78540523	78540582	805	433
A_14_P122888	01	114971336	114971380	521	262.5
A_14_P122889	12	48829199	48829258	1085.5	388
A_14_P122890	10	119112404	119112463	291	193
A_14_P122891	05	94234581	94234640	817	418
A_14_P122892	19	3160521	3160568	1069	603.5
A_14_P122893	11	117147817	117147876	854.5	547
A_14_P122894	01	229251385	229251444	554	254
A_14_P122895	14	59681355	59681413	701	557
A_14_P122896	12	10450349	10450408	1300	471.5
A_14_P122897	04	76075539	76075598	481	280
A_14_P122898	11	112268405	112268464	280	157
A_14_P122899	05	65094608	65094667	372.5	243
A_14_P122900	18	9800584	9800643	836	358
A_14_P122901	09	137563465	137563513	304.5	194.5
A_14_P122902	08	99710890	99710949	564	327
A_14_P122903	09	37024017	37024074	511	275
A_14_P122904	16	23301487	23301546	220	108
A_14_P122905	11	56151465	56151524	296	216
A_14_P122906	17	73895688	73895747	580.5	250
A_14_P122907	06	75949831	75949890	464	253
A_14_P122908	01	236253984	236254043	286	140
A_14_P122909	08	108365811	108365870	740	436
A_14_P122910	10	33622786	33622845	305.5	208.5
A_14_P122911	01	6536152	6536210	671	328
A_14_P122914	15	71960845	71960890	231	137
A_14_P122915	01	64272845	64272904	318	177
A_14_P122916	03	61130921	61130980	730.5	384.5
A_14_P122917	14	41116021	41116080	521.5	421
A_14_P122918	06	74029263	74029317	470	235
A_14_P122919	06	24806112	24806169	619	374
A_14_P122920	05	145542709	145542768	467	230
A_14_P122921	07	137657327	137657386	323	163.5
A_14_P122922	01	53793796	53793855	493.5	240
A_14_P122923	08	117851748	117851807	444	256
A_14_P122924	01	54066595	54066644	687	319.5
A_14_P122925	06	80290227	80290286	510.5	341
A_14_P122926	01	45466687	45466733	388.5	223
A_14_P122927	16	87337484	87337534	343.5	185.5
A_14_P122928	20	23762845	23762904	891	437
A_14_P122929	16	21557247	21557306	264.5	175.5
A_14_P122930	03	157982882	157982941	525	287
A_14_P122931	02	174832042	174832101	620.5	348
A_14_P122932	16	79134702	79134761	670	368
A_14_P122933	16	63621145	63621204	676.5	404.5
A_14_P122934	11	118551598	118551657	395	208
A_14_P122935	15	39912046	39912092	493.5	223.5
A_14_P122936	02	173120926	173120985	346.5	210
A_14_P122937	15	45742989	45743048	338	206
A_14_P122938	01	117871014	117871073	1041	483
A_14_P122939	05	128266387	128266446	794	510
A_14_P122941	02	148490773	148490832	995.5	518
A_14_P122942	08	74692204	74692263	183.5	129
A_14_P122943	11	103283270	103283329	472	294
A_14_P122944	06	136184224	136184283	229.5	140
A_14_P122945	04	120211972	120212031	607	346
A_14_P122946	07	130050710	130050769	290	150.5
A_14_P122947	X	42392893	42392952	535	425
A_14_P122948	19	7156362	7156421	457	246
A_14_P122949	02	204406868	204406927	676	327
A_14_P122950	03	197472947	197473005	1303	828.5
A_14_P122951	17	7517491	7517547	499	231
A_14_P122952	10	96443820	96443879	401.5	325.5
A_14_P122953	12	89815601	89815660	486	228.5
A_14_P122954	12	82030075	82030134	319	141.5
A_14_P122955	06	13999650	13999709	328.5	207.5
A_14_P122956	07	147918782	147918839	613	305
A_14_P122957	06	97117200	97117258	314	199
A_14_P122959	X	63614515	63614574	249	197
A_14_P122960	22	45451078	45451137	569.5	318.5
A_14_P122961	22	34335687	34335746	239	136
A_14_P122962	13	78086551	78086610	487	326.5
A_14_P122963	04	130789234	130789293	461	265
A_14_P122964	05	52373758	52373817	454.5	258.5
A_14_P122965	06	97687250	97687309	688	395.5
A_14_P122966	05	1492791	1492850	409	256
A_14_P122967	08	109795861	109795920	934.5	543
A_14_P122968	09	128263703	128263754	354	211
A_14_P122969	09	124984495	124984552	283.5	179.5
A_14_P122970	11	42604663	42604722	391	227
A_14_P122971	03	77608567	77608622	265	161
A_14_P122972	01	26625299	26625358	1092.5	503.5
A_14_P122973	02	122200807	122200866	509	257
A_14_P122974	04	123111999	123112058	154.5	96.5
A_14_P122975	17	70349995	70350043	763	293
A_14_P122976	X	144449956	144450015	530	320
A_14_P122977	01	6515571	6515630	749	350
A_14_P122978	08	109078147	109078206	738.5	541
A_14_P122979	19	6617970	6618028	612	399.5
A_14_P122980	03	129682177	129682236	344.5	220
A_14_P122981	20	47956722	47956776	424	189
A_14_P122982	01	70322667	70322726	272	170
A_14_P122983	03	121044859	121044917	550	311
A_14_P122984	12	111847719	111847778	647	268
A_14_P122985	15	36337007	36337066	502	233
A_14_P122986	01	158332696	158332749	484	227.5
A_14_P122987	06	16382920	16382979	226	125
A_14_P122988	19	50516857	50516914	519	296
A_14_P122989	15	58694376	58694435	287.5	154
A_14_P122990	02	11682480	11682539	1075	506
A_14_P122992	08	72272850	72272909	423	266
A_14_P122993	08	27319924	27319983	172	107
A_14_P122995	06	143997389	143997448	383	231
A_14_P122996	15	70346206	70346265	396.5	159
A_14_P122997	14	60046827	60046885	169	120
A_14_P122998	02	47683620	47683679	546	286
A_14_P122999	03	28315276	28315335	748	444
A_14_P123000	21	45181877	45181930	599	346
A_14_P123001	11	17699251	17699302	194	132
A_14_P123002	07	81672287	81672346	417	201
A_14_P123003	01	11694814	11694873	490	291
A_14_P123004	02	206330021	206330080	285	164
A_14_P123005	01	24869513	24869570	1385.5	717.5
A_14_P123006	18	31202715	31202774	502	263.5
A_14_P123007	06	136919853	136919912	335.5	202.5
A_14_P123008	10	15864168	15864227	516	369
A_14_P123009	16	73174276	73174335	409.5	255
A_14_P123010	01	82167362	82167410	302	154
A_14_P123011	11	107992959	107993018	282	178
A_14_P123012	20	17909827	17909886	760	366.5
A_14_P123013	11	76657719	76657778	630	328
A_14_P123014	01	36528139	36528198	598.5	278
A_14_P123015	02	198321395	198321454	522.5	224
A_14_P123016	17	21195590	21195649	614.5	214.5
A_14_P123017	19	57784110	57784169	432.5	259
A_14_P123018	05	121216337	121216396	481	264
A_14_P123019	16	69159683	69159738	297	130
A_14_P123021	16	84379883	84379942	290	152
A_14_P123022	09	125511678	125511737	632	414.5
A_14_P123023	14	61120040	61120099	316	211
A_14_P123024	06	126256692	126256751	303	152
A_14_P123025	04	142919158	142919217	632	332
A_14_P123026	04	146280874	146280933	1526	1387
A_14_P123027	19	60896815	60896874	392.5	220
A_14_P123028	21	44660199	44660258	307.5	209
A_14_P123029	20	23424512	23424568	385	218
A_14_P123030	09	75978638	75978690	543	323
A_14_P123031	17	47991776	47991835	363	141
A_14_P123032	05	76205636	76205695	269	142
A_14_P123033	16	48617760	48617819	345.5	230
A_14_P123035	12	128151717	128151776	281.5	132.5
A_14_P123036	01	151687895	151687954	639	289
A_14_P123037	11	117910069	117910116	328	194
A_14_P123039	18	74480375	74480434	350	200
A_14_P123040	12	103031686	103031739	1058.5	471
A_14_P123041	04	120429712	120429771	771	441
A_14_P123042	01	74254298	74254357	628.5	279.5
A_14_P123043	10	122807750	122807809	637	496.5
A_14_P123044	03	4331005	4331052	891	503
A_14_P123045	09	126767936	126767995	509	274.5
A_14_P123046	X	103075281	103075340	292	256
A_14_P123047	03	128998277	128998336	337	197
A_14_P123049	18	37791604	37791663	353.5	202.5
A_14_P123050	08	26284095	26284154	481	246
A_14_P123051	01	200466184	200466231	641	314
A_14_P123052	03	129320904	129320960	475.5	234
A_14_P123053	01	179796025	179796084	732.5	352.5
A_14_P123054	02	111568021	111568080	420	218.5
A_14_P123055	04	187585030	187585089	445	248
A_14_P123056	13	35908824	35908883	372	242
A_14_P123057	03	63517404	63517449	418	228.5
A_14_P123058	07	38675415	38675474	949	496
A_14_P123059	05	67578574	67578633	328.5	179
A_14_P123060	06	47740877	47740936	647	389
A_14_P123061	17	9038289	9038348	1236	458
A_14_P123062	11	72432024	72432083	834.5	473
A_14_P123063	03	89654152	89654211	575	353
A_14_P123064	17	69297079	69297138	1263	506.5
A_14_P123065	07	120298253	120298312	566.5	299.5
A_14_P123066	09	132490800	132490859	359	199
